iter	RMSE
0	11075.55169
1	10275.94124
2	9608.450655
3	8937.525691
4	8358.888
5	7858.846513
6	7410.881787
7	7032.135469
8	6687.785011
9	6383.589564
10	6114.923005
11	5890.911904
12	5693.744967
13	5521.005096
14	5367.06905
15	5237.744031
16	5115.372345
17	5015.518633
18	4924.298937
19	4842.28638
20	4763.714983
21	4700.287456
22	4648.844191
23	4605.816493
24	4574.114428
25	4535.85809
26	4498.316154
27	4467.620427
28	4438.355967
29	4410.100684
30	4390.729363
31	4366.425453
32	4348.21642
33	4329.43836
34	4309.309845
35	4300.211039
36	4286.117598
37	4270.824969
38	4247.562241
39	4232.966011
40	4218.327419
41	4211.219443
42	4203.648273
43	4192.266214
44	4185.488588
45	4178.74159
46	4173.213578
47	4167.238126
48	4158.042678
49	4151.034389
50	4140.107955
51	4131.162915
52	4120.09455
53	4114.138021
54	4107.185464
55	4106.314386
56	4099.978083
57	4093.1604
58	4086.544692
59	4080.377046
60	4072.942683
61	4066.52188
62	4058.761356
63	4053.492959
64	4044.578888
65	4033.587672
66	4032.481858
67	4029.282809
68	4023.90392
69	4020.528308
70	4012.33768
71	4005.399236
72	4000.768653
73	3996.586888
74	3986.813157
75	3979.897544
76	3973.398714
77	3967.059208
78	3963.797957
79	3956.179802
80	3947.524503
81	3943.023102
82	3934.989941
83	3928.501918
84	3916.702311
85	3911.619599
86	3909.501404
87	3904.318101
88	3903.695177
89	3898.907151
90	3892.762029
91	3890.645231
92	3887.920302
93	3885.034491
94	3881.29069
95	3878.284114
96	3877.606022
97	3876.511546
98	3872.539136
99	3866.180279
100	3863.348702
101	3853.156696
102	3849.515297
103	3843.309377
104	3837.652169
105	3836.619125
106	3828.201955
107	3827.174073
108	3824.545935
109	3819.104076
110	3812.378718
111	3807.161384
112	3798.259048
113	3788.950758
114	3785.838582
115	3777.864949
116	3765.824594
117	3761.701985
118	3751.892941
119	3744.541039
120	3740.124812
121	3738.005823
122	3737.077953
123	3734.646869
124	3731.023905
125	3720.108771
126	3715.099799
127	3711.885802
128	3708.61517
129	3706.233054
130	3702.643379
131	3694.894633
132	3690.852352
133	3684.106976
134	3681.888654
135	3678.872647
136	3677.292147
137	3671.461155
138	3664.234774
139	3656.741335
140	3655.35043
141	3649.361212
142	3639.890635
143	3637.875529
144	3636.02679
145	3624.632365
146	3615.658679
147	3605.7772
148	3601.44614
149	3598.869543
150	3589.572348
151	3585.439721
152	3580.804698
153	3573.45612
154	3571.374329
155	3570.428738
