iter	Passed	Remaining
0	58	29363
1	59	14737
2	59	9878
3	60	7453
4	60	5995
5	61	5023
6	61	4328
7	61	3790
8	62	3387
9	62	3063
10	62	2798
11	63	2569
12	63	2384
13	64	2228
14	64	2089
15	64	1960
16	65	1853
17	65	1760
18	66	1678
19	66	1603
20	67	1534
21	67	1472
22	68	1416
23	68	1363
24	69	1312
25	69	1269
26	70	1229
27	70	1191
28	71	1156
29	71	1123
30	72	1091
31	72	1061
32	73	1034
33	73	1007
34	73	982
35	74	958
36	74	937
37	75	916
38	75	896
39	76	876
40	76	858
41	77	840
42	77	824
43	77	808
44	78	792
45	78	778
46	79	764
47	79	750
48	80	737
49	80	725
50	81	713
51	81	702
52	81	691
53	82	680
54	82	671
55	83	660
56	83	650
57	84	641
58	84	633
59	85	624
60	85	617
61	86	610
62	86	603
63	87	595
64	87	587
65	88	580
66	88	571
67	88	564
68	89	558
69	89	551
70	90	545
71	90	538
72	91	532
73	91	527
74	92	521
75	92	515
76	92	510
77	93	505
78	93	499
79	94	495
80	94	490
81	95	485
82	95	480
83	96	475
84	96	471
85	96	466
86	97	462
87	97	458
88	98	453
89	98	450
90	99	446
91	99	442
92	100	438
93	100	434
94	101	431
95	101	427
96	101	423
97	102	419
98	102	416
99	103	412
100	103	409
101	104	405
102	104	402
103	104	399
104	105	396
105	105	393
106	106	390
107	106	387
108	107	384
109	107	381
110	108	378
111	108	375
112	108	373
113	109	370
114	110	368
115	110	365
116	110	363
117	111	360
118	111	358
119	112	355
120	112	353
121	113	350
122	113	348
123	114	346
124	114	344
125	115	341
126	115	339
127	116	337
128	116	335
129	117	333
130	117	331
131	118	329
132	118	327
133	119	325
134	119	322
135	119	320
136	120	318
137	120	316
138	121	314
139	121	312
140	122	310
141	122	308
142	122	306
143	123	305
144	123	303
145	124	301
146	124	299
147	125	297
148	125	295
149	126	294
150	126	292
151	126	290
152	127	289
153	127	287
154	128	285
155	128	283
156	129	282
157	129	280
158	130	279
159	130	277
160	131	276
161	131	274
162	132	273
163	132	271
164	133	270
165	133	268
166	134	267
167	134	265
168	135	264
169	135	262
170	135	261
171	136	259
172	136	258
173	137	256
174	137	255
175	138	254
176	138	252
177	138	251
178	139	250
179	139	248
180	140	247
181	140	245
182	141	244
183	141	243
184	142	242
185	142	240
186	143	239
187	143	238
188	143	236
189	144	235
190	144	234
191	145	233
192	145	232
193	146	230
194	146	229
195	147	228
196	147	227
197	148	226
198	148	225
199	149	223
200	149	222
201	150	221
202	150	220
203	151	219
204	151	218
205	152	217
206	152	215
207	153	214
208	153	213
209	153	212
210	154	211
211	154	210
212	155	209
213	155	208
214	156	207
215	156	206
216	157	205
217	157	204
218	158	203
219	158	202
220	159	200
221	159	199
222	160	198
223	160	197
224	161	196
225	161	196
226	162	195
227	162	194
228	163	193
229	163	192
230	164	191
231	164	190
232	164	189
233	165	188
234	166	187
235	166	186
236	167	185
237	167	184
238	168	183
239	168	182
240	169	181
241	169	180
242	170	180
243	170	179
244	171	178
245	171	177
246	172	176
247	172	175
248	173	174
249	173	173
250	174	172
251	174	171
252	175	170
253	175	169
254	175	169
255	176	168
256	177	167
257	177	166
258	178	165
259	178	164
260	179	164
261	179	163
262	180	162
263	180	161
264	181	160
265	181	159
266	182	158
267	182	157
268	182	157
269	183	156
270	183	155
271	184	154
272	184	153
273	185	152
274	185	151
275	185	150
276	186	149
277	186	149
278	187	148
279	187	147
280	187	146
281	188	145
